,Party,Votes,Votes %,Seats,Seats %
0,Fidesz – Hungarian Civic Union,2636201,47.89,91,86.66666666666667
1,Jobbik – Movement for a Better Hungary,1276840,23.2,1,0.9523809523809524
2,Hungarian Socialist Party,622458,11.31,8,7.6190476190476195
3,Politics Can Be Different,312731,5.68,1,0.9523809523809524
4,Democratic Coalition,348176,6.33,3,2.857142857142857
5,Together – Party for a New Era,58591,1.06,1,0.9523809523809524
6,'Christian Democratic People''s Party',0,0.0,0,0.0
